,지하철역,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
71,홍대입구,서울특별시 마포구 동교동,126.925381,37.557192,B,1144012100,서울특별시,마포구,동교동,H,1144066000,서울특별시,마포구,서교동
72,신촌,서울특별시 서대문구 창천동,126.936893,37.555134,B,1141011600,서울특별시,서대문구,창천동,H,1141058500,서울특별시,서대문구,신촌동
73,이대,서울특별시 마포구 대흥동,126.946013,37.556733,B,1144010800,서울특별시,마포구,대흥동,H,1144060000,서울특별시,마포구,대흥동
74,아현,서울특별시 마포구 아현동,126.956141,37.557345,B,1144010100,서울특별시,마포구,아현동,H,1144055500,서울특별시,마포구,아현동
75,충정로,서울특별시 서대문구 충정로3가,126.963672,37.559973,B,1141010200,서울특별시,서대문구,충정로3가,H,1141056500,서울특별시,서대문구,충현동
76,신답,서울특별시 성동구 용답동,127.046481,37.57004,B,1120012200,서울특별시,성동구,용답동,H,1120079000,서울특별시,성동구,용답동
77,까치산,서울특별시 강서구 화곡동,126.846683,37.531768,B,1150010300,서울특별시,강서구,화곡동,H,1150054000,서울특별시,강서구,화곡1동
78,시청,서울특별시 중구 태평로2가,126.977108,37.564718,B,1114011400,서울특별시,중구,태평로2가,H,1114052000,서울특별시,중구,소공동
79,서초,서울특별시 서초구 서초동,127.007917,37.491897,B,1165010800,서울특별시,서초구,서초동,H,1165053000,서울특별시,서초구,서초3동
80,왕십리,서울특별시 성동구 행당동,127.037732,37.561533,B,1120010700,서울특별시,성동구,행당동,H,1120056000,서울특별시,성동구,행당1동
81,상왕십리,서울특별시 성동구 하왕십리동,127.029354,37.564354,B,1120010200,서울특별시,성동구,하왕십리동,H,1120052000,서울특별시,성동구,왕십리2동
82,대림,서울특별시 영등포구 대림동,126.895801,37.49297,B,1156013300,서울특별시,영등포구,대림동,H,1156072000,서울특별시,영등포구,대림3동
83,신설동,서울특별시 동대문구 신설동,127.025087,37.575297,B,1123010100,서울특별시,동대문구,신설동,H,1123053600,서울특별시,동대문구,용신동
84,도림천,서울특별시 구로구 신도림동,126.882768,37.514287,B,1153010100,서울특별시,구로구,신도림동,H,1153051000,서울특별시,구로구,신도림동
85,양천구청,서울특별시 양천구 신정동,126.865819,37.512398,B,1147010100,서울특별시,양천구,신정동,H,1147068000,서울특별시,양천구,신정7동
86,용두,서울특별시 동대문구 용두동,127.038091,37.574028,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
87,양재,서울특별시 서초구 양재동,127.034631,37.484147,B,1165010200,서울특별시,서초구,양재동,H,1165065100,서울특별시,서초구,양재1동
88,매봉,서울특별시 강남구 도곡동,127.046769,37.486947,B,1168011800,서울특별시,강남구,도곡동,H,1168065600,서울특별시,강남구,도곡2동
89,도곡,서울특별시 강남구 도곡동,127.055381,37.490858,B,1168011800,서울특별시,강남구,도곡동,H,1168065600,서울특별시,강남구,도곡2동
90,대치,서울특별시 강남구 대치동,127.063642,37.494612,B,1168010600,서울특별시,강남구,대치동,H,1168061000,서울특별시,강남구,대치2동
91,학여울,서울특별시 강남구 대치동,127.070594,37.496663,B,1168010600,서울특별시,강남구,대치동,H,1168061000,서울특별시,강남구,대치2동
92,대청,서울특별시 강남구 일원동,127.079532,37.493514,B,1168011400,서울특별시,강남구,일원동,H,1168074000,서울특별시,강남구,일원2동
93,일원,서울특별시 강남구 일원동,127.08439,37.483681,B,1168011400,서울특별시,강남구,일원동,H,1168072000,서울특별시,강남구,일원본동
94,수서,서울특별시 강남구 수서동,127.10188,37.487371,B,1168011500,서울특별시,강남구,수서동,H,1168075000,서울특별시,강남구,수서동
95,동대입구,서울특별시 중구 장충동2가,127.005602,37.559052,B,1114014400,서울특별시,중구,장충동2가,H,1114058000,서울특별시,중구,장충동
96,금호,서울특별시 성동구 금호동4가,127.015872,37.548034,B,1120011200,서울특별시,성동구,금호동4가,H,1120062000,서울특별시,성동구,금호4가동
97,옥수,서울특별시 성동구 옥수동,127.017965,37.540685,B,1120011300,서울특별시,성동구,옥수동,H,1120064500,서울특별시,성동구,옥수동
98,압구정,서울특별시 강남구 신사동,127.028461,37.527072,B,1168010700,서울특별시,강남구,신사동,H,1168054500,서울특별시,강남구,압구정동
99,신사,서울특별시 강남구 논현동,127.020114,37.516334,B,1168010800,서울특별시,강남구,논현동,H,1168052100,서울특별시,강남구,논현1동
100,잠원,서울특별시 서초구 잠원동,127.01122,37.512759,B,1165010600,서울특별시,서초구,잠원동,H,1165054000,서울특별시,서초구,잠원동
101,고속터미널,서울특별시 서초구 반포동,127.004943,37.50481,B,1165010700,서울특별시,서초구,반포동,H,1165058100,서울특별시,서초구,반포4동
102,교대,서울특별시 서초구 서초동,127.01408,37.493415,B,1165010800,서울특별시,서초구,서초동,H,1165051000,서울특별시,서초구,서초1동
103,남부터미널,서울특별시 서초구 서초동,127.016189,37.485013,B,1165010800,서울특별시,서초구,서초동,H,1165053000,서울특별시,서초구,서초3동
104,경복궁,서울특별시 종로구 적선동,126.97353,37.575762,B,1111010700,서울특별시,종로구,적선동,H,1111053000,서울특별시,종로구,사직동
105,안국,서울특별시 종로구 경운동,126.985443,37.576477,B,1111013400,서울특별시,종로구,경운동,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
106,종로3가,서울특별시 종로구 묘동,126.991806,37.571607,B,1111015100,서울특별시,종로구,묘동,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
107,을지로3가,서울특별시 중구 을지로3가,126.99191,37.566295,B,1114015500,서울특별시,중구,을지로3가,H,1114060500,서울특별시,중구,을지로동
108,구파발,서울특별시 은평구 진관동,126.918821,37.636763,B,1138011400,서울특별시,은평구,진관동,H,1138069000,서울특별시,은평구,진관동
109,연신내,서울특별시 은평구 갈현동,126.921008,37.619001,B,1138010400,서울특별시,은평구,갈현동,H,1138055100,서울특별시,은평구,갈현1동
110,불광,서울특별시 은평구 대조동,126.929887,37.610469,B,1138010600,서울특별시,은평구,대조동,H,1138057000,서울특별시,은평구,대조동
